You already have the most recent version of MATLAB Connector installed.

                            < M A T L A B (R) >
                  Copyright 1984-2024 The MathWorks, Inc.
Eval n=600, NN=10000 | out-of-sample obj = 1.7258692 | rep = 3
Eval n=600, NN=10000 | out-of-sample obj = 1.7262745 | rep = 4
Eval n=600, NN=10000 | out-of-sample obj = 1.7257006 | rep = 5
Average eval for n=600, N=600 over 5 reps = 1.7258635
Eval n=700, NN=10000 | out-of-sample obj = 1.7365549 | rep = 1
Eval n=700, NN=10000 | out-of-sample obj = 1.734979 | rep = 2
Eval n=700, NN=10000 | out-of-sample obj = 1.7350245 | rep = 3
Eval n=700, NN=10000 | out-of-sample obj = 1.7394508 | rep = 4
Eval n=700, NN=10000 | out-of-sample obj = 1.7336308 | rep = 5
Average eval for n=700, N=200 over 5 reps = 1.735928
Eval n=700, NN=10000 | out-of-sample obj = 1.7299829 | rep = 1
Eval n=700, NN=10000 | out-of-sample obj = 1.7303408 | rep = 2
Eval n=700, NN=10000 | out-of-sample obj = 1.7292209 | rep = 3
Eval n=700, NN=10000 | out-of-sample obj = 1.7303776 | rep = 4
Eval n=700, NN=10000 | out-of-sample obj = 1.7315575 | rep = 5
Average eval for n=700, N=400 over 5 reps = 1.7302959
Eval n=700, NN=10000 | out-of-sample obj = 1.7284239 | rep = 1
Eval n=700, NN=10000 | out-of-sample obj = 1.7273553 | rep = 2
Eval n=700, NN=10000 | out-of-sample obj = 1.7271109 | rep = 3
Eval n=700, NN=10000 | out-of-sample obj = 1.7275299 | rep = 4
Eval n=700, NN=10000 | out-of-sample obj = 1.7279358 | rep = 5
Average eval for n=700, N=600 over 5 reps = 1.7276711
Eval n=800, NN=10000 | out-of-sample obj = 1.7385854 | rep = 1
Eval n=800, NN=10000 | out-of-sample obj = 1.7387854 | rep = 2
Eval n=800, NN=10000 | out-of-sample obj = 1.7360803 | rep = 3
Eval n=800, NN=10000 | out-of-sample obj = 1.7369494 | rep = 4
Eval n=800, NN=10000 | out-of-sample obj = 1.7380837 | rep = 5
Average eval for n=800, N=200 over 5 reps = 1.7376968
Eval n=800, NN=10000 | out-of-sample obj = 1.7346892 | rep = 1
Eval n=800, NN=10000 | out-of-sample obj = 1.7328184 | rep = 2
Eval n=800, NN=10000 | out-of-sample obj = 1.732987 | rep = 3
Eval n=800, NN=10000 | out-of-sample obj = 1.733048 | rep = 4
Eval n=800, NN=10000 | out-of-sample obj = 1.7319246 | rep = 5
Average eval for n=800, N=400 over 5 reps = 1.7330934
Eval n=800, NN=10000 | out-of-sample obj = 1.7291157 | rep = 1
Eval n=800, NN=10000 | out-of-sample obj = 1.7289459 | rep = 2
Eval n=800, NN=10000 | out-of-sample obj = 1.7279096 | rep = 3
Eval n=800, NN=10000 | out-of-sample obj = 1.7300573 | rep = 4
Eval n=800, NN=10000 | out-of-sample obj = 1.7294774 | rep = 5
Average eval for n=800, N=600 over 5 reps = 1.7291012
Eval n=900, NN=10000 | out-of-sample obj = 1.7418562 | rep = 1
Eval n=900, NN=10000 | out-of-sample obj = 1.7413515 | rep = 2
Eval n=900, NN=10000 | out-of-sample obj = 1.7394348 | rep = 3
Eval n=900, NN=10000 | out-of-sample obj = 1.739788 | rep = 4
Eval n=900, NN=10000 | out-of-sample obj = 1.7393142 | rep = 5
Average eval for n=900, N=200 over 5 reps = 1.7403489
Eval n=900, NN=10000 | out-of-sample obj = 1.7333596 | rep = 1
Eval n=900, NN=10000 | out-of-sample obj = 1.7331142 | rep = 2
Eval n=900, NN=10000 | out-of-sample obj = 1.7321852 | rep = 3
Eval n=900, NN=10000 | out-of-sample obj = 1.7338721 | rep = 4
Eval n=900, NN=10000 | out-of-sample obj = 1.7339088 | rep = 5
Average eval for n=900, N=400 over 5 reps = 1.733288
Eval n=900, NN=10000 | out-of-sample obj = 1.7306149 | rep = 1
Eval n=900, NN=10000 | out-of-sample obj = 1.7291236 | rep = 2
Eval n=900, NN=10000 | out-of-sample obj = 1.731306 | rep = 3
Eval n=900, NN=10000 | out-of-sample obj = 1.7307691 | rep = 4
Eval n=900, NN=10000 | out-of-sample obj = 1.7323396 | rep = 5
Average eval for n=900, N=600 over 5 reps = 1.7308306
Eval n=1000, NN=10000 | out-of-sample obj = 1.7411472 | rep = 1
Eval n=1000, NN=10000 | out-of-sample obj = 1.7395893 | rep = 2
Eval n=1000, NN=10000 | out-of-sample obj = 1.7410923 | rep = 3
Eval n=1000, NN=10000 | out-of-sample obj = 1.7379915 | rep = 4
Eval n=1000, NN=10000 | out-of-sample obj = 1.7429936 | rep = 5
Average eval for n=1000, N=200 over 5 reps = 1.7405628
Eval n=1000, NN=10000 | out-of-sample obj = 1.7331146 | rep = 1
Eval n=1000, NN=10000 | out-of-sample obj = 1.7350725 | rep = 2
Eval n=1000, NN=10000 | out-of-sample obj = 1.7335251 | rep = 3
Eval n=1000, NN=10000 | out-of-sample obj = 1.735357 | rep = 4
Eval n=1000, NN=10000 | out-of-sample obj = 1.7335847 | rep = 5
Average eval for n=1000, N=400 over 5 reps = 1.7341308
Eval n=1000, NN=10000 | out-of-sample obj = 1.7325435 | rep = 1
Eval n=1000, NN=10000 | out-of-sample obj = 1.7312438 | rep = 2
Eval n=1000, NN=10000 | out-of-sample obj = 1.7338052 | rep = 3
Eval n=1000, NN=10000 | out-of-sample obj = 1.7292772 | rep = 4
Eval n=1000, NN=10000 | out-of-sample obj = 1.7316892 | rep = 5
Average eval for n=1000, N=600 over 5 reps = 1.7317118
Eval n=1500, NN=10000 | out-of-sample obj = 1.7482596 | rep = 1
Eval n=1500, NN=10000 | out-of-sample obj = 1.7496139 | rep = 2
Eval n=1500, NN=10000 | out-of-sample obj = 1.7479782 | rep = 3
Eval n=1500, NN=10000 | out-of-sample obj = 1.7495982 | rep = 4
Eval n=1500, NN=10000 | out-of-sample obj = 1.7507291 | rep = 5
Average eval for n=1500, N=200 over 5 reps = 1.7492358
Eval n=1500, NN=10000 | out-of-sample obj = 1.7452769 | rep = 1
Eval n=1500, NN=10000 | out-of-sample obj = 1.7412652 | rep = 2
Eval n=1500, NN=10000 | out-of-sample obj = 1.744279 | rep = 3
Eval n=1500, NN=10000 | out-of-sample obj = 1.7426859 | rep = 4
Eval n=1500, NN=10000 | out-of-sample obj = 1.744501 | rep = 5
Average eval for n=1500, N=400 over 5 reps = 1.7436016
Eval n=1500, NN=10000 | out-of-sample obj = 1.7374855 | rep = 1
Eval n=1500, NN=10000 | out-of-sample obj = 1.7390914 | rep = 2
Eval n=1500, NN=10000 | out-of-sample obj = 1.7415364 | rep = 3
Eval n=1500, NN=10000 | out-of-sample obj = 1.7380005 | rep = 4
Eval n=1500, NN=10000 | out-of-sample obj = 1.7386219 | rep = 5
Average eval for n=1500, N=600 over 5 reps = 1.7389472
Eval n=2000, NN=10000 | out-of-sample obj = 1.7735828 | rep = 1
Eval n=2000, NN=10000 | out-of-sample obj = 1.7592864 | rep = 2
Eval n=2000, NN=10000 | out-of-sample obj = 1.7586465 | rep = 3
Eval n=2000, NN=10000 | out-of-sample obj = 1.7530978 | rep = 4
Eval n=2000, NN=10000 | out-of-sample obj = 1.7519248 | rep = 5
Average eval for n=2000, N=200 over 5 reps = 1.7593076
Eval n=2000, NN=10000 | out-of-sample obj = 1.746846 | rep = 1
Eval n=2000, NN=10000 | out-of-sample obj = 1.7473609 | rep = 2
Eval n=2000, NN=10000 | out-of-sample obj = 1.7470445 | rep = 3
Eval n=2000, NN=10000 | out-of-sample obj = 1.7521342 | rep = 4
Eval n=2000, NN=10000 | out-of-sample obj = 1.752374 | rep = 5
Average eval for n=2000, N=400 over 5 reps = 1.7491519
Eval n=2000, NN=10000 | out-of-sample obj = 1.7458688 | rep = 1
Eval n=2000, NN=10000 | out-of-sample obj = 1.7453484 | rep = 2
Eval n=2000, NN=10000 | out-of-sample obj = 1.7450526 | rep = 3
Eval n=2000, NN=10000 | out-of-sample obj = 1.7425737 | rep = 4
Eval n=2000, NN=10000 | out-of-sample obj = 1.7419381 | rep = 5
Average eval for n=2000, N=600 over 5 reps = 1.7441563
Eval n=5000, NN=10000 | out-of-sample obj = 1.7918176 | rep = 1
Eval n=5000, NN=10000 | out-of-sample obj = 1.8056901 | rep = 2
Eval n=5000, NN=10000 | out-of-sample obj = 1.7951085 | rep = 3
Eval n=5000, NN=10000 | out-of-sample obj = 1.8040712 | rep = 4
Eval n=5000, NN=10000 | out-of-sample obj = 1.8129193 | rep = 5
Average eval for n=5000, N=200 over 5 reps = 1.8019213
Eval n=5000, NN=10000 | out-of-sample obj = 1.786208 | rep = 1
Eval n=5000, NN=10000 | out-of-sample obj = 1.7862737 | rep = 2
Eval n=5000, NN=10000 | out-of-sample obj = 1.7796743 | rep = 3
Eval n=5000, NN=10000 | out-of-sample obj = 1.7792821 | rep = 4
Eval n=5000, NN=10000 | out-of-sample obj = 1.7868776 | rep = 5
Average eval for n=5000, N=400 over 5 reps = 1.7836631
Eval n=5000, NN=10000 | out-of-sample obj = 1.7766805 | rep = 1
Eval n=5000, NN=10000 | out-of-sample obj = 1.7795804 | rep = 2
Eval n=5000, NN=10000 | out-of-sample obj = 1.7737851 | rep = 3
Eval n=5000, NN=10000 | out-of-sample obj = 1.7731635 | rep = 4
Eval n=5000, NN=10000 | out-of-sample obj = 1.7769926 | rep = 5
Average eval for n=5000, N=600 over 5 reps = 1.7760404
Saved results to experiment_results_replications_SMD_1point1_20251018_203858.mat
