
                            < M A T L A B (R) >
                  Copyright 1984-2024 The MathWorks, Inc.
Eval n=600, NN=10000 | out-of-sample obj = 1.7184015 | rep = 4
Eval n=600, NN=10000 | out-of-sample obj = 1.7182567 | rep = 5
Average eval for n=600, N=600 over 5 reps = 1.7181652
Eval n=700, NN=10000 | out-of-sample obj = 1.7185821 | rep = 1
Eval n=700, NN=10000 | out-of-sample obj = 1.7184069 | rep = 2
Eval n=700, NN=10000 | out-of-sample obj = 1.7184141 | rep = 3
Eval n=700, NN=10000 | out-of-sample obj = 1.7186605 | rep = 4
Eval n=700, NN=10000 | out-of-sample obj = 1.7188433 | rep = 5
Average eval for n=700, N=200 over 5 reps = 1.7185814
Eval n=700, NN=10000 | out-of-sample obj = 1.7182241 | rep = 1
Eval n=700, NN=10000 | out-of-sample obj = 1.7178269 | rep = 2
Eval n=700, NN=10000 | out-of-sample obj = 1.7176721 | rep = 3
Eval n=700, NN=10000 | out-of-sample obj = 1.7179753 | rep = 4
Eval n=700, NN=10000 | out-of-sample obj = 1.718394 | rep = 5
Average eval for n=700, N=400 over 5 reps = 1.7180185
Eval n=700, NN=10000 | out-of-sample obj = 1.717587 | rep = 1
Eval n=700, NN=10000 | out-of-sample obj = 1.7176017 | rep = 2
Eval n=700, NN=10000 | out-of-sample obj = 1.7179869 | rep = 3
Eval n=700, NN=10000 | out-of-sample obj = 1.7175443 | rep = 4
Eval n=700, NN=10000 | out-of-sample obj = 1.7174939 | rep = 5
Average eval for n=700, N=600 over 5 reps = 1.7176428
Eval n=800, NN=10000 | out-of-sample obj = 1.7189018 | rep = 1
Eval n=800, NN=10000 | out-of-sample obj = 1.7181789 | rep = 2
Eval n=800, NN=10000 | out-of-sample obj = 1.7179542 | rep = 3
Eval n=800, NN=10000 | out-of-sample obj = 1.7181758 | rep = 4
Eval n=800, NN=10000 | out-of-sample obj = 1.7185415 | rep = 5
Average eval for n=800, N=200 over 5 reps = 1.7183504
Eval n=800, NN=10000 | out-of-sample obj = 1.7173745 | rep = 1
Eval n=800, NN=10000 | out-of-sample obj = 1.717493 | rep = 2
Eval n=800, NN=10000 | out-of-sample obj = 1.7173673 | rep = 3
Eval n=800, NN=10000 | out-of-sample obj = 1.7176522 | rep = 4
Eval n=800, NN=10000 | out-of-sample obj = 1.7174389 | rep = 5
Average eval for n=800, N=400 over 5 reps = 1.7174652
Eval n=800, NN=10000 | out-of-sample obj = 1.7171095 | rep = 1
Eval n=800, NN=10000 | out-of-sample obj = 1.7172473 | rep = 2
Eval n=800, NN=10000 | out-of-sample obj = 1.7172284 | rep = 3
Eval n=800, NN=10000 | out-of-sample obj = 1.7171266 | rep = 4
Eval n=800, NN=10000 | out-of-sample obj = 1.7172171 | rep = 5
Average eval for n=800, N=600 over 5 reps = 1.7171858
Eval n=900, NN=10000 | out-of-sample obj = 1.7179495 | rep = 1
Eval n=900, NN=10000 | out-of-sample obj = 1.717915 | rep = 2
Eval n=900, NN=10000 | out-of-sample obj = 1.7174389 | rep = 3
Eval n=900, NN=10000 | out-of-sample obj = 1.7173097 | rep = 4
Eval n=900, NN=10000 | out-of-sample obj = 1.7181067 | rep = 5
Average eval for n=900, N=200 over 5 reps = 1.7177439
Eval n=900, NN=10000 | out-of-sample obj = 1.7172785 | rep = 1
Eval n=900, NN=10000 | out-of-sample obj = 1.7170436 | rep = 2
Eval n=900, NN=10000 | out-of-sample obj = 1.7170493 | rep = 3
Eval n=900, NN=10000 | out-of-sample obj = 1.717153 | rep = 4
Eval n=900, NN=10000 | out-of-sample obj = 1.7173972 | rep = 5
Average eval for n=900, N=400 over 5 reps = 1.7171843
Eval n=900, NN=10000 | out-of-sample obj = 1.7169187 | rep = 1
Eval n=900, NN=10000 | out-of-sample obj = 1.7169587 | rep = 2
Eval n=900, NN=10000 | out-of-sample obj = 1.7171254 | rep = 3
Eval n=900, NN=10000 | out-of-sample obj = 1.7171325 | rep = 4
Eval n=900, NN=10000 | out-of-sample obj = 1.7168965 | rep = 5
Average eval for n=900, N=600 over 5 reps = 1.7170064
Eval n=1000, NN=10000 | out-of-sample obj = 1.7174952 | rep = 1
Eval n=1000, NN=10000 | out-of-sample obj = 1.7176817 | rep = 2
Eval n=1000, NN=10000 | out-of-sample obj = 1.7174918 | rep = 3
Eval n=1000, NN=10000 | out-of-sample obj = 1.7172035 | rep = 4
Eval n=1000, NN=10000 | out-of-sample obj = 1.7174347 | rep = 5
Average eval for n=1000, N=200 over 5 reps = 1.7174614
Eval n=1000, NN=10000 | out-of-sample obj = 1.717131 | rep = 1
Eval n=1000, NN=10000 | out-of-sample obj = 1.7169881 | rep = 2
Eval n=1000, NN=10000 | out-of-sample obj = 1.7169893 | rep = 3
Eval n=1000, NN=10000 | out-of-sample obj = 1.7168071 | rep = 4
Eval n=1000, NN=10000 | out-of-sample obj = 1.7168005 | rep = 5
Average eval for n=1000, N=400 over 5 reps = 1.7169432
Eval n=1000, NN=10000 | out-of-sample obj = 1.7166567 | rep = 1
Eval n=1000, NN=10000 | out-of-sample obj = 1.716572 | rep = 2
Eval n=1000, NN=10000 | out-of-sample obj = 1.7167897 | rep = 3
Eval n=1000, NN=10000 | out-of-sample obj = 1.7167816 | rep = 4
Eval n=1000, NN=10000 | out-of-sample obj = 1.7167319 | rep = 5
Average eval for n=1000, N=600 over 5 reps = 1.7167064
Eval n=1500, NN=10000 | out-of-sample obj = 1.7170153 | rep = 1
Eval n=1500, NN=10000 | out-of-sample obj = 1.7165977 | rep = 2
Eval n=1500, NN=10000 | out-of-sample obj = 1.7164806 | rep = 3
Eval n=1500, NN=10000 | out-of-sample obj = 1.7163569 | rep = 4
Eval n=1500, NN=10000 | out-of-sample obj = 1.7166692 | rep = 5
Average eval for n=1500, N=200 over 5 reps = 1.7166239
Eval n=1500, NN=10000 | out-of-sample obj = 1.7164868 | rep = 1
Eval n=1500, NN=10000 | out-of-sample obj = 1.7161803 | rep = 2
Eval n=1500, NN=10000 | out-of-sample obj = 1.7160937 | rep = 3
Eval n=1500, NN=10000 | out-of-sample obj = 1.716343 | rep = 4
Eval n=1500, NN=10000 | out-of-sample obj = 1.7162267 | rep = 5
Average eval for n=1500, N=400 over 5 reps = 1.7162661
Eval n=1500, NN=10000 | out-of-sample obj = 1.715864 | rep = 1
Eval n=1500, NN=10000 | out-of-sample obj = 1.7160797 | rep = 2
Eval n=1500, NN=10000 | out-of-sample obj = 1.7158862 | rep = 3
Eval n=1500, NN=10000 | out-of-sample obj = 1.7159365 | rep = 4
Eval n=1500, NN=10000 | out-of-sample obj = 1.7159625 | rep = 5
Average eval for n=1500, N=600 over 5 reps = 1.7159458
Eval n=2000, NN=10000 | out-of-sample obj = 1.716585 | rep = 1
Eval n=2000, NN=10000 | out-of-sample obj = 1.7163792 | rep = 2
Eval n=2000, NN=10000 | out-of-sample obj = 1.7165939 | rep = 3
Eval n=2000, NN=10000 | out-of-sample obj = 1.7164175 | rep = 4
Eval n=2000, NN=10000 | out-of-sample obj = 1.7161375 | rep = 5
Average eval for n=2000, N=200 over 5 reps = 1.7164226
Eval n=2000, NN=10000 | out-of-sample obj = 1.7162851 | rep = 1
Eval n=2000, NN=10000 | out-of-sample obj = 1.7161403 | rep = 2
Eval n=2000, NN=10000 | out-of-sample obj = 1.7157777 | rep = 3
Eval n=2000, NN=10000 | out-of-sample obj = 1.7158904 | rep = 4
Eval n=2000, NN=10000 | out-of-sample obj = 1.716108 | rep = 5
Average eval for n=2000, N=400 over 5 reps = 1.7160403
Eval n=2000, NN=10000 | out-of-sample obj = 1.715794 | rep = 1
Eval n=2000, NN=10000 | out-of-sample obj = 1.7158569 | rep = 2
Eval n=2000, NN=10000 | out-of-sample obj = 1.7157822 | rep = 3
Eval n=2000, NN=10000 | out-of-sample obj = 1.715809 | rep = 4
Eval n=2000, NN=10000 | out-of-sample obj = 1.7156874 | rep = 5
Average eval for n=2000, N=600 over 5 reps = 1.7157859
Eval n=5000, NN=10000 | out-of-sample obj = 1.7164284 | rep = 1
Eval n=5000, NN=10000 | out-of-sample obj = 1.7163991 | rep = 2
Eval n=5000, NN=10000 | out-of-sample obj = 1.7162814 | rep = 3
Eval n=5000, NN=10000 | out-of-sample obj = 1.7162669 | rep = 4
Eval n=5000, NN=10000 | out-of-sample obj = 1.7168921 | rep = 5
Average eval for n=5000, N=200 over 5 reps = 1.7164536
Eval n=5000, NN=10000 | out-of-sample obj = 1.7161563 | rep = 1
Eval n=5000, NN=10000 | out-of-sample obj = 1.7164729 | rep = 2
Eval n=5000, NN=10000 | out-of-sample obj = 1.7162687 | rep = 3
Eval n=5000, NN=10000 | out-of-sample obj = 1.7160512 | rep = 4
Eval n=5000, NN=10000 | out-of-sample obj = 1.7160204 | rep = 5
Average eval for n=5000, N=400 over 5 reps = 1.7161939
Eval n=5000, NN=10000 | out-of-sample obj = 1.7158118 | rep = 1
Eval n=5000, NN=10000 | out-of-sample obj = 1.7160655 | rep = 2
Eval n=5000, NN=10000 | out-of-sample obj = 1.7159787 | rep = 3
Eval n=5000, NN=10000 | out-of-sample obj = 1.7158625 | rep = 4
Eval n=5000, NN=10000 | out-of-sample obj = 1.7159146 | rep = 5
Average eval for n=5000, N=600 over 5 reps = 1.7159266
Saved results to experiment_results_replications_SMD_1point5_20251018_203951.mat
